Season,No_in_season,No_overall,Title,Directed_by,Written_by,Air_date,US_viewers(milion)
1,1,1,The Pilot[a],James Burrows,David Crane & Marta Kauffman,1994-09-22,21.5
1,2,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,20.2
1,3,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,19.5
1,4,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,19.7
1,5,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,18.6
1,6,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,18.2
1,7,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,23.5
1,8,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,21.1
1,9,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,23.1
1,10,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,19.9
1,11,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,26.6
1,12,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,24.0
1,13,13,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,25.8
1,14,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,23.8
1,15,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,24.8
1,16,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,26.1
1,17,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,30.5
1,18,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,30.4
1,19,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,29.4
1,20,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,30.0
1,21,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,28.4
1,22,22,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,29.9
1,23,23,The One with the Birth,James Burrows,Story by : David Crane & Marta Kauffman Teleplay by : Jeff Greenstein & Jeff Strauss,1995-05-11,28.7
1,24,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,1995-05-18,31.3
2,1,25,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1995-09-21,32.1
2,2,26,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,1995-09-28,29.8
2,3,27,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,1995-10-05,30.2
2,4,28,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,1995-10-12,28.1
2,5,29,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,1995-10-19,28.3
2,6,30,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,1995-11-02,30.2
2,7,31,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,1995-11-09,30.5
2,8,32,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,1995-11-16,32.9
2,9,33,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,1995-12-14,27.8
2,10,34,The One with Russ,Thomas Schlamme,Ira Ungerleider,1996-01-04,32.2
2,11,35,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1996-01-18,31.6
2,12/13,36/37,The One After the Superbowl,Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,1996-01-28,52.9
2,14,38,The One with the Prom Video,James Burrows,Alexa Junge,1996-02-01,33.6
2,15,39,The One Where Ross and Rachel...You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-02-08,32.9
2,16,40,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,1996-02-15,31.1
2,17,41,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,1996-02-22,30.2
2,18,42,The One Where Dr. Ramoray Dies,Michael Lembeck,Story by : Alexa Junge Teleplay by : Michael Borkow,1996-03-21,30.1
2,19,43,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-03-28,31.2
2,20,44,The One Where Old Yeller Dies,Michael Lembeck,Story by : Michael Curtis & Gregory S. Malins Teleplay by : Adam Chase,1996-04-04,27.4
2,21,45,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,1996-04-25,24.7
2,22,46,The One with the Two Parties,Michael Lembeck,Alexa Junge,1996-05-02,25.5
2,23,47,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,1996-05-09,26.1
2,24,48,The One with Barry and Mindy's Wedding,Michael Lembeck,Story by : Ira Ungerleider Teleplay by : Brown Mandell,1996-05-16,29.0
3,1,49,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,1996-09-19,26.8
3,2,50,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,1996-09-26,26.7
3,3,51,The One with the Jam,Kevin S. Bright,Wil Calhoun,1996-10-03,25.2
3,4,52,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,1996-10-10,26.1
3,5,53,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,1996-10-17,23.3
3,6,54,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,1996-10-31,23.3
3,7,55,The One with the Race Car Bed,Gail Mancuso,Seth Kurland,1996-11-07,27.4
3,8,56,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,1996-11-14,28.7
3,9,57,The One with the Football,Kevin S. Bright,Ira Ungerleider,1996-11-21,29.3
3,10,58,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,1996-12-12,25.1
3,11,59,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,1997-01-09,29.8
3,12,60,The One with All the Jealousy,Robby Benson,Doty Abrams,1997-01-16,29.6
3,13,61,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,1997-01-30,28.0
3,14,62,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,1997-02-06,28.9
3,15,63,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,1997-02-13,27.3
3,16,64,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,1997-02-20,28.3
3,17,65,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,1997-03-06,25.8
3,18,66,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,1997-03-13,28.1
3,19,67,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,1997-03-27,23.7
3,20,68,The One with the Dollhouse,Terry Hughes,Wil Calhoun,1997-04-10,24.4
3,21,69,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,1997-04-17,23.2
3,22,70,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,1997-04-24,22.6
3,23,71,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,1997-05-01,24.2
3,24,72,The One with the Ultimate Fighting Champion,Robby Benson,Story by : Pang-Ni Landrum & Mark Kunerth Teleplay by : Shana Goldberg-Meehan & Scott Silveri,1997-05-08,23.1
3,25,73,The One at the Beach,Pamela Fryman,Story by : Pang-Ni Landrum & Mark Kunerth Teleplay by : Adam Chase,1997-05-15,28.8
4,1,74,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,1997-09-25,29.4
4,2,75,The One with the Cat,Shelley Jensen,"Jill Condon 
& Amy Toomin",1997-10-02,25.5
4,3,76,The One with the Cuffs,Peter Bonerz,Seth Kurland,1997-10-09,24.0
4,4,77,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,1997-10-16,24.3
4,5,78,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,1997-10-30,24.4
4,6,79,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,1997-11-06,25.7
4,7,80,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,1997-11-13,26.4
4,8,81,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,1997-11-20,26.8
4,9,82,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,1997-12-11,23.9
4,10,83,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,1997-12-18,23.2
4,11,84,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,1998-01-08,23.7
4,12,85,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,1998-01-15,27.1
4,13,86,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-01-29,25.3
4,14,87,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,1998-02-05,25.1
4,15,88,The One with All the Rugby,James Burrows,Story by : Ted Cohen & Andrew Reich Teleplay by : Wil Calhoun,1998-02-26,24.4
4,16,89,The One with the Fake Party,Michael Lembeck,Story by : Alicia Sky Varinaitis Teleplay by : Scott Silveri & Shana Goldberg-Meehan,1998-03-19,23.1
4,17,90,The One with the Free Porn,Michael Lembeck,Story by : Mark Kunerth Teleplay by : Richard Goodman,1998-03-26,23.2
4,18,91,The One with Rachel's New Dress,Gail Mancuso,Story by : Andrew Reich & Ted Cohen Teleplay by : Jill Condon & Amy Toomin,1998-04-02,21.7
4,19,92,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,1998-04-09,21.8
4,20,93,The One with All the Wedding Dresses,Gail Mancuso,Story by : Adam Chase Teleplay by : Gregory S. Malins & Michael Curtis,1998-04-16,21.9
4,21,94,The One with the Invitation,Peter Bonerz,Seth Kurland,1998-04-23,21.5
4,22,95,The One with the Worst Best Man Ever,Peter Bonerz,Story by : Seth Kurland Teleplay by : Gregory S. Malins & Michael Curtis,1998-04-30,23.2
4,23/24,96/97,The One with Ross's Wedding,Kevin S. Bright,Michael BorkowStory by : Jill Condon & Amy Toomin Teleplay by : Shana Goldberg-Meehan & Scott Silveri,1998-05-07,31.6
5,1,98,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,1998-09-24,31.1
5,2,99,The One with All the Kissing,Gary Halvorson,Wil Calhoun,1998-10-01,25.4
5,3,100,The One HundredthThe One with the Triplets,Kevin S. Bright,David Crane & Marta Kauffman,1998-10-08,26.8
5,4,101,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,1998-10-15,24.1
5,5,102,The One with the Kips,Dana DeValley Piazza,Scott Silveri,1998-10-29,25.9
5,6,103,The One with the Yeti,Gary Halvorson,Alexa Junge,1998-11-05,25.0
5,7,104,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,1998-11-12,24.4
5,8,105,The One with All the Thanksgivings,Kevin S. Bright,Gregory S. Malins,1998-11-19,23.9
5,9,106,The One with Ross's Sandwich,Gary Halvorson,Ted Cohen & Andrew Reich,1998-12-10,23.0
5,10,107,The One with the Inappropriate Sister,Dana DeValley Piazza,Shana Goldberg-Meehan,1998-12-17,23.7
5,11,108,The One with All the Resolutions,Joe Regalbuto,Story by : Brian Boyle Teleplay by : Suzie Villandry,1999-01-07,27.0
5,12,109,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,1999-01-21,24.8
5,13,110,The One with Joey's Bag,Gail Mancuso,Story by : Michael Curtis Teleplay by : Seth Kurland,1999-02-04,24.9
5,14,111,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,1999-02-11,27.7
5,15,112,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,1999-02-18,29.3
5,16,113,The One with the Cop,Andrew Tsao,Story by : Alicia Sky Varinaitis Teleplay by : Gigi McCreery & Perry Rein,1999-02-25,26.0
5,17,114,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,1999-03-18,24.5
5,18,115,The One Where Rachel Smokes,Todd Holland,Michael Curtis,1999-04-08,21.9
5,19,116,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,1999-04-22,20.9
5,20,117,The One with the Ride-Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,1999-04-29,19.6
5,21,118,The One with the Ball,Gary Halvorson,Story by : Scott Silveri Teleplay by : Gregory S. Malins,1999-05-06,20.9
5,22,119,The One with Joey's Big Break,Gary Halvorson,Story by : Shana Goldberg-Meehan Teleplay by : Wil Calhoun,1999-05-13,21.3
5,23/24,120/121,The One in Vegas,Kevin S. Bright,Ted Cohen & Andrew ReichGregory S. Malins & Scott Silveri,1999-05-20,25.9
6,1,122,The One After Vegas,Kevin S. Bright,Adam Chase,1999-09-23,27.7
6,2,123,The One Where Ross Hugs Rachel,Gail Mancuso,Shana Goldberg-Meehan,1999-09-30,22.9
6,3,124,The One with Ross's Denial,Gary Halvorson,Seth Kurland,1999-10-07,21.6
6,4,125,The One Where Joey Loses His Insurance,Gary Halvorson,Andrew Reich & Ted Cohen,1999-10-14,21.1
